pCO2,T,TA,DO,DIC,label
385.8,22.8976,2336.0,192.0,2035.3,0
379.9,21.8,2338.1,183.7,2042.7,0
394.2,22.0812,2331.7,183.2,2042.9,0
393.3,21.1442,2346.6,189.6,2062.3,0
395.5,20.7811,2331.7,190.0,2054.2,0
418.2,22.1411,2372.2,169.7,2086.2,0
380.9,20.0749,2336.6,194.9,2056.6,0
376.8,20.1791,2350.0,195.6,2064.6,0
393.3,19.6428,2343.6,189.0,2072.3,0
447.7,21.0206,2341.4,177.2,2085.3,0
416.0,22.3109,2351.8,164.7,2068.5,0
418.0,21.5327,2346.9,173.6,2071.8,0
410.4,21.5328,2349.5,166.7,2070.2,0
409.0,20.0182,2342.4,186.0,2076.1,0
381.3,21.2775,2347.7,190.8,2055.9,0
421.9,20.6016,2357.4,173.1,2089.5,0
408.5,21.3196,2336.9,173.0,2060.6,0
409.9,19.6017,2336.3,187.2,2075.0,0
433.7,21.433,2358.6,172.5,2088.8,0
397.3,20.5213,2340.4,181.0,2064.5,0
381.0,21.4561,2336.3,195.8,2044.9,0
397.5,19.6478,2334.8,189.3,2067.0,0
406.1,19.9432,2343.5,182.4,2076.2,0
399.1,20.5271,2336.9,179.3,2062.5,0
385.5,19.452,2342.7,187.5,2069.3,0
423.8,20.479,2351.8,177.7,2086.9,0
429.0,21.6858,2341.6,165.1,2071.4,0
411.3,21.0501,2338.5,181.0,2065.7,0
392.3,19.8354,2340.1,181.3,2067.4,0
432.1,21.1777,2356.0,173.6,2088.5,0
425.8,21.1398,2362.8,170.7,2091.5,0
471.5,17.4964,2334.6,165.5,2117.7,0
462.6,18.0063,2337.1,164.1,2112.2,0
480.6,16.5742,2319.6,164.7,2115.5,0
469.9,12.5735,2304.7,180.7,2128.7,0
463.5,11.8322,2301.2,186.3,2128.5,0
442.6,13.14,2312.4,189.7,2120.6,0
467.4,14.2224,2304.5,177.7,2115.1,0
488.9,14.3858,2300.0,172.1,2117.8,0
437.9,14.5653,2321.3,183.6,2115.7,0
457.7,13.9968,2304.6,186.1,2113.1,0
491.5,12.1859,2284.3,182.9,2120.9,0
478.4,13.5356,2303.2,172.6,2123.1,0
537.5,11.7346,2298.3,153.8,2150.6,0
429.7,11.4405,2302.3,179.8,2120.1,0
461.4,13.845,2299.7,184.7,2111.6,0
510.1,13.7189,2307.4,164.4,2136.1,0
446.3,12.7583,2301.8,189.3,2115.4,0
312.299,25.713,2242.0,227.0,1901.0,0
317.3,25.118,2281.0,220.4,1936.0,0
323.48,25.567,2241.0,218.0,1909.0,0
336.132,28.957,2237.0,205.0,1885.0,0
330.479,26.386,2237.0,213.9,1904.0,0
338.289,28.273,2197.0,206.9,1864.0,0
336.328,26.643,2234.0,211.0,1903.0,0
331.625,28.216,2226.0,205.4,1880.0,0
334.593,26.155,2243.0,212.3,1913.0,0
329.894,28.29,2227.0,204.0,1879.0,0
323.756,27.83,2242.0,205.4,1890.0,0
385.819,28.275,2273.0,203.9,1949.0,0
335.444,25.558,2240.0,213.4,1916.0,0
348.961,28.028,2218.0,204.8,1887.0,0
341.076,28.921,2259.0,200.9,1904.0,0
353.768,29.208,2251.0,200.0,1904.0,0
354.26,27.115,2222.0,207.0,1900.0,0
343.376,29.233,2245.0,199.7,1893.0,0
338.733,28.941,2257.0,200.3,1901.0,0
349.732,27.24,2219.0,206.3,1894.0,0
342.301,27.168,2209.0,206.4,1884.0,0
348.88,27.375,2239.0,205.0,1908.0,0
342.173,28.849,2260.0,199.7,1906.0,0
331.266,27.033,2217.0,206.3,1884.0,0
350.102,29.401,2230.0,198.2,1885.0,0
336.815,26.432,2247.0,207.9,1914.0,0
348.686,27.448,2240.0,204.5,1908.0,0
351.538,28.338,2181.0,202.4,1860.0,0
343.561,28.539,2232.0,200.7,1889.0,0
