pCO2,AOU,excess DIC,T,nDIC+0.768DO,DIC-0.5TA+0.83DO,DO Saturation,label,LOF_label
345.8,-6.4757341,-32.0,26.5099,2115.284,979.534,0.96393122,0,0
350.6,-9.9865064,-29.4,27.9157,2105.654,971.204,0.981549303,0,0
361.7,-14.367293,-22.4,26.9381,2125.713,997.513,1.001621447,0,0
356.5,-9.4007944,-25.6,27.1979,2116.182,984.082,0.978223468,0,0
357.3,-11.306975,-24.9,26.5697,2125.019,991.569,0.986759432,0,0
365.3,-9.5367534,-19.8,26.2362,2131.838,997.238,0.978171873,0,0
356.9,-13.9674,-25.2,25.5449,2137.316,1011.516,0.998242093,0,0
360.7,-11.47065,-22.9,26.2444,2130.032,1004.232,0.987276552,0,0
378.1,-13.55468,-12.6,27.7652,2124.825,997.425,0.998690105,0,0
364.8,-14.904495,-20.3,26.0367,2137.535,1008.735,1.003156034,0,0
362.2,-0.8622518,-21.5,24.8489,2138.701,1008.151,0.937400497,0,0
399.0,27.2100442,-0.5,23.1873,2153.392,1028.892,0.812278006,0,0
371.1,1.31755974,-16.3,25.6173,2134.3,1003.0,0.927342764,0,0
361.5,-4.1833392,-22.0,25.1692,2136.844,1006.994,0.952724492,0,0
363.0,2.5366484,-20.9,24.0224,2144.52,1018.17,0.921987412,0,0
354.7,12.0909648,-25.7,23.5004,2138.012,1008.012,0.879318467,0,0
372.4,10.117726,-15.1,22.8898,2156.698,1026.398,0.888631711,0,0
396.1,0.11907932,-2.1,23.8528,2167.193,1038.193,0.9329155,0,0
357.6,1.91879918,-24.0,23.8038,2144.865,1014.815,0.924816693,0,0
376.4,4.61586639,-13.3,24.3577,2145.515,1024.815,0.912445788,0,0
368.2,9.2661383,-17.9,23.5344,2147.37,1024.67,0.891920943,0,0
404.1,30.8522831,2.2,24.0392,2143.831,1018.281,0.79402415,0,0
382.0,16.8242969,-9.5,21.4869,2172.136,1043.236,0.860753274,0,0
374.7,17.0409265,-13.6,21.5363,2167.504,1038.354,0.859754649,0,0
393.5,21.7273772,-3.5,23.4803,2151.844,1025.294,0.836191485,0,0
389.3,22.2343983,-5.7,22.566,2158.485,1034.985,0.835429381,0,0
385.8,18.7116773,-7.6,22.8976,2157.06,1026.66,0.850559254,0,0
379.9,31.130555,-10.7,21.8,2155.771,1026.121,0.798187745,0,0
394.2,30.5663344,-3.0,22.0812,2160.656,1029.106,0.799978119,0,0
393.3,27.7913677,-3.5,21.1442,2172.968,1046.368,0.814119182,0,0
395.5,28.8517892,-2.3,20.7811,2177.4,1046.05,0.810392567,0,0
418.2,43.3974312,9.3,22.1411,2159.151,1040.951,0.743353819,0,0
380.9,26.8520223,-9.9,20.0749,2179.867,1050.067,0.820419925,0,0
376.8,25.7242712,-12.2,20.1791,2177.448,1051.948,0.824957845,0,0
393.3,34.4962304,-3.4,19.6428,2184.57,1057.37,0.789375333,0,0
447.7,40.6889301,22.6,21.0206,2189.276,1061.676,0.759137597,0,0
416.0,48.1177617,8.2,22.3109,2154.101,1029.301,0.722399901,0,0
418.0,42.2177312,9.0,21.5327,2168.688,1042.438,0.750852356,0,0
410.4,49.1254088,5.3,21.5328,2159.361,1033.811,0.720982921,0,0
409.0,35.9343405,4.5,20.0182,2186.78,1059.28,0.782312711,0,0
381.3,26.0888582,-9.9,21.2775,2166.864,1040.414,0.821170005,0,0
421.9,46.3062803,10.8,20.6016,2176.973,1054.473,0.736444398,0,0
408.5,43.6589156,4.3,21.3196,2165.29,1035.74,0.745352114,0,0
409.9,36.5226317,4.8,19.6017,2191.676,1062.226,0.781066254,0,0
433.7,43.4729387,16.6,21.433,2174.875,1052.675,0.745558475,0,0
397.3,38.8807715,-1.4,20.5213,2172.93,1044.53,0.768392774,0,0
381.0,20.3898063,-10.1,21.4561,2169.414,1039.264,0.845413979,0,0
397.5,34.1653024,-1.3,19.6478,2186.819,1056.719,0.790737734,0,0
